emp_id,charge_per_hour
51,300
52,300
53,300
54,300
55,300
56,300
57,300
58,300
59,300
60,300
61,300
62,300
63,300
64,300
65,300
66,300
67,300
68,300
69,300
70,300
71,300
72,300
73,300
74,300
75,300
76,300
77,300
78,300
79,300
80,300
81,300
82,300
83,300
84,300
85,300
86,100
87,100
88,100
89,100
90,100
91,100
92,100
93,100
94,100
95,100
96,100
97,100
98,100
99,100
100,100
101,100
102,100
103,100
104,100
105,100
106,100
107,100
108,100
109,100
110,100
111,100
112,100
113,100
114,100
115,100
116,100
117,100
118,100
119,100
120,100
121,100
122,100
123,100
124,100
125,100
126,100
127,100
128,100
129,100
130,100
131,100
132,100
133,100
134,100
135,100
136,100
137,100
138,100
139,100
140,100
141,100
142,100
143,100
144,100
145,100
146,100
147,100
148,100
149,100
150,100
151,100
152,100
153,100
154,100
155,100
156,100
157,100
158,100
159,100
160,100
